competitor_id,name,country,country_code,abbreviation,gender
sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA,
sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS,
sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV,
sr:competitor:51836,"Arevalo-Gonzalez, Marcelo",El Salvador,SLV,ARE,
sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL,
sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT,
sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB,
sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA,
sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA,
sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT,
sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU,
sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL,
sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL,
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV,
sr:competitor:52065,"Harrison, Christian",USA,USA,HAR,
sr:competitor:23899,"King, Evan",USA,USA,KIN,
sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG,
sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK,
sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS,
sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB,
sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA,
sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR,
sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE,
sr:competitor:38181,"Molteni, Andres",Argentina,ARG,MOL,
sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN,
sr:competitor:121182,"Guinard, Manuel",France,FRA,GUI,
sr:competitor:78793,"Miedler, Lucas",Austria,AUT,MIE,
sr:competitor:14553,"Ram, Rajeev",USA,USA,RAM,
sr:competitor:106559,"Doumbia, Sadio",France,FRA,DOU,
sr:competitor:106349,"Reboul, Fabien",France,FRA,REB,
sr:competitor:838776,"Tracy, James",USA,USA,TRA,
sr:competitor:52951,"Pel, David",Netherlands,NLD,PEL,
sr:competitor:62410,"Johnson, Luke",Great Britain,GBR,JOH,
sr:competitor:47295,"Andreozzi, Guido",Argentina,ARG,AND,
sr:competitor:112805,"Zielinski, Jan",Poland,POL,ZIE,
sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG,GON,
sr:competitor:393598,"Cash, Robert",USA,USA,CAS,
sr:competitor:230186,"Verbeek, Sem",Netherlands,NLD,VER,
sr:competitor:206889,"Galloway, Robert",USA,USA,GAL,
sr:competitor:16823,"Romboli, Fernando",Brazil,BRA,ROM,
sr:competitor:56629,"Peers, John",Australia,AUS,PEE,
sr:competitor:41475,"Arneodo, Romain",Monaco,MCO,ARN,
sr:competitor:17038,"Smith, John-Patrick",Australia,AUS,SMI,
sr:competitor:76263,"Matos, Rafael",Brazil,BRA,MAT,
sr:competitor:114831,"Erler, Alexander",Austria,AUT,ERL,
sr:competitor:231188,"Frantzen, Constantin",Germany,DEU,FRA,
sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX,GON,
sr:competitor:81059,"Gille, Sander",Belgium,BEL,GIL,
sr:competitor:112969,"Schnaitter, Jakob",Germany,DEU,SCH,
sr:competitor:936355,"Wallner, Mark",Germany,DEU,WAL,
sr:competitor:25189,"Krajicek, Austin",USA,USA,KRA,
sr:competitor:231090,"Arribage, Theo",France,FRA,ARR,
sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV,
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO,
sr:competitor:16124,"Melo, Marcelo",Brazil,BRA,MEL,
sr:competitor:16042,"Haase, Robin",Netherlands,NLD,HAA,
sr:competitor:111195,"Luz, Orlando",Brazil,BRA,LUZ,
sr:competitor:15307,"Bopanna, Rohan",India,IND,BRO,
sr:competitor:204781,"Nouza, Petr",Czechia,CZE,NOU,
sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK,
sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ,
sr:competitor:47966,"Olivetti, Albano",France,FRA,OLI,
sr:competitor:234044,"Kirkov, Vasil",USA,USA,KIR,
sr:competitor:234124,"Stevens, Bart",Netherlands,NLD,STE,
sr:competitor:16409,"Ebden, Matthew",Australia,AUS,EBD,
sr:competitor:45105,"Behar, Ariel",Uruguay,URY,BEH,
sr:competitor:104917,"Vliegen, Joran",Belgium,BEL,VLI,
sr:competitor:287215,"Seggerman, Ryan",USA,USA,SEG,
